ETF,is_equity,is_international,is_gov,is_credit,is_macro,needs_review
AFTY,1,1,0,0,0,1
AGZ,0,0,1,0,0,1
AIRR,1,0,0,0,0,0
ANGL,0,0,0,1,0,0
AOA,1,1,1,1,0,1
ARKG,1,1,0,0,0,1
ASHX,1,1,0,0,0,0
ATMP,1,0,0,0,0,0
BAPR,1,0,0,0,0,0
BBUS,1,0,0,0,0,0
BCD,0,0,0,0,1,0
BFOR,1,0,0,0,0,0
BICK,1,1,0,0,0,1
BIV,0,0,1,1,0,1
BJAN,1,0,0,0,0,0
BJUL,1,0,0,0,0,0
BLCN,1,0,0,0,0,0
BLOK,1,0,0,0,0,0
BOCT,1,0,0,0,0,0
BOUT,1,0,0,0,0,0
BSBE,0,1,0,1,0,0
BSCE,0,1,0,1,0,0
BSDE,0,1,0,1,0,0
BSJP,0,0,0,1,0,0
CALF,1,0,0,0,0,0
CAPD,1,0,0,0,0,0
CBON,0,1,0,1,0,0
CCOR,1,0,0,0,0,0
CDC,1,0,0,0,0,0
CDL,1,0,0,0,0,0
CEFS,1,1,1,1,0,1
CEMB,0,1,0,1,0,0
CEW,0,1,0,0,1,1
CGW,1,1,0,0,0,0
CHIE,1,1,0,0,0,0
CHIK,1,1,0,0,0,0
CHIM,1,1,0,0,0,0
CHIQ,1,1,0,0,0,0
CHIS,1,1,0,0,0,0
CMBS,0,0,0,1,0,0
CNRG,1,0,0,0,0,0
CNXT,1,1,0,0,0,1
CNYA,1,1,0,0,0,0
COWZ,1,0,0,0,0,0
CSA,1,0,0,0,0,0
CSB,1,0,0,0,0,0
CSF,1,0,0,0,0,1
CSM,1,0,0,0,0,0
CWB,0,0,0,1,0,1
DALI,1,1,0,0,0,1
DBAW,1,1,0,0,0,0
DBC,0,0,0,0,1,0
DBEF,1,1,0,0,0,0
DBEM,1,1,0,0,0,0
DBEU,1,1,0,0,0,0
DBEZ,1,1,0,0,0,0
DBJP,1,1,0,0,0,0
DDLS,1,1,0,0,0,0
DDWM,1,1,0,0,0,0
DFE,1,1,0,0,0,0
DFND,1,0,0,0,0,0
DGRO,1,0,0,0,0,0
DGRW,1,0,0,0,0,0
DGS,1,1,0,0,0,0
DGT,1,1,0,0,0,0
DIA,1,0,0,0,0,0
DIVB,1,0,0,0,0,0
DIVO,1,0,0,0,0,0
DLN,1,0,0,0,0,0
DRSK,1,0,0,0,0,1
DSI,1,0,0,0,0,0
DSTL,1,0,0,0,0,0
DTD,1,0,0,0,0,0
DVY,1,0,0,0,0,0
DWAS,1,0,0,0,0,0
DWAT,1,1,1,1,0,1
DWMC,1,0,0,0,0,1
DXJ,1,1,0,0,0,0
DXJS,1,1,0,0,0,0
ECH,1,0,0,0,0,0
EEMS,1,1,0,0,0,0
EES,1,0,0,0,0,0
EKAR,1,1,0,0,0,0
EMCB,0,1,0,1,0,0
EMCR,1,1,0,0,0,1
EMGF,1,1,0,0,0,0
EMHY,0,1,0,1,0,0
EMLP,1,0,0,0,0,0
EMTL,0,1,0,1,0,0
EMXC,1,1,0,0,0,0
ENFR,1,0,0,0,0,0
EPU,1,1,0,0,0,0
EQAL,1,0,0,0,0,0
EQWL,1,0,0,0,0,0
ESG,1,0,0,0,0,1
ESGD,1,1,0,0,0,0
ESGG,1,1,0,0,0,0
ESGS,1,0,0,0,0,0
ESGU,1,0,0,0,0,0
ESGV,1,0,0,0,0,0
ESPO,1,1,0,0,0,1
ETHO,1,0,0,0,0,0
EUDG,1,1,0,0,0,0
EUSC,1,1,0,0,0,0
EWC,1,0,0,0,0,0
EWCO,1,0,0,0,0,0
EWD,1,0,0,0,0,0
EWJV,1,1,0,0,0,0
EWL,1,0,0,0,0,0
EWM,1,0,0,0,0,0
EWRE,1,0,0,0,0,0
EWSC,1,0,0,0,0,0
EWT,1,1,0,0,0,0
EWW,1,0,0,0,0,0
EWX,1,1,0,0,0,0
EYLD,1,1,0,0,0,1
EZA,1,0,0,0,0,0
EZM,1,0,0,0,0,0
FAD,1,0,0,0,0,0
FALN,0,0,0,1,0,0
FBND,0,0,1,1,0,1
FBZ,1,0,0,0,0,0
FCAL,0,0,0,1,0,0
FCEF,0,1,0,1,0,1
FCOM,1,0,0,0,0,0
FDHY,0,0,0,1,0,0
FDIS,1,0,0,0,0,0
FDM,1,0,0,0,0,0
FDRR,1,0,0,0,0,0
