ETF,Time Outperforming,Start Price,End Price,Right_Censored,Category10,Time_Outperforming_6mstep
AFTY,4,100,99.02034681556513,0,International / EM Equity,0
AGZ,166,100,132.47061393994187,1,Fixed Income,162
AIRR,0,100,98.00100449775113,0,Fixed Income,0
ANGL,125,100,143.27806932827247,1,Fixed Income,120
AOA,0,100,91.66666302910068,0,Other / Thematic / Alternative,162
ARKG,0,100,98.86866699458929,0,Technology,6
ASHX,3,100,86.40002280441679,0,International / EM Equity,0
ATMP,2,100,99.84196714618933,0,Energy & Natural Resources,0
BAPR,1,100,97.09875533868197,0,Broad / Diversified Equity,6
BBUS,2,100,97.16415392204003,0,Broad / Diversified Equity,42
BCD,0,100,99.84025160382382,0,Energy & Natural Resources,18
BFOR,0,100,98.60557768924302,0,Other / Thematic / Alternative,108
BICK,0,100,98.41217333774395,0,Broad / Diversified Equity,12
BIV,1,100,99.37238606407004,0,Fixed Income,6
BJAN,14,100,95.11359711747728,0,Technology,42
BJUL,0,100,99.37959676697959,0,Broad / Diversified Equity,0
BLCN,1,100,98.22989287794938,0,Technology,0
BLOK,0,100,98.5377264840695,0,Technology,0
BOCT,0,100,95.17240973630831,0,Broad / Diversified Equity,0
BOUT,0,100,98.52295802486857,0,Broad / Diversified Equity,0
BSBE,0,100,99.60015993602559,0,Fixed Income,12
BSCE,0,100,100.12101250016086,0,Fixed Income,36
BSDE,0,100,100.0,0,Fixed Income,12
BSJP,0,100,99.84069693983683,0,Fixed Income,0
CALF,2,100,94.34114728531836,0,Broad / Diversified Equity,18
CAPD,0,100,98.03766105054508,0,Broad / Diversified Equity,114
CBON,0,100,99.88013983699003,0,Fixed Income,0
CCOR,0,100,98.98039215686273,0,Other / Thematic / Alternative,0
CDC,0,100,96.40836831424299,0,Other / Thematic / Alternative,96
CDL,1,100,96.3207888551492,0,Other / Thematic / Alternative,0
CEFS,12,100,100.80881336366096,0,Fixed Income,12
CEMB,1,100,97.07666749555754,0,Fixed Income,12
CEW,7,100,99.54146910785435,0,Fixed Income,6
CGW,2,100,99.25312115772499,0,Energy & Natural Resources,6
CHIE,0,100,94.13427561837455,0,Energy & Natural Resources,0
CHIK,0,100,91.62516382699869,0,Technology,0
CHIM,0,100,82.60274032182396,0,Broad / Diversified Equity,0
CHIQ,1,100,90.59613518224047,0,Consumer,0
