,ETF,is_equity,is_international,is_gov,is_credit,is_macro,needs_review
0,AFTY,1,1,0,0,0,1
1,AGZ,0,0,1,0,0,1
2,AIRR,1,0,0,0,0,0
3,ANGL,0,0,0,1,0,0
4,AOA,1,1,1,1,0,1
5,ARKG,1,1,0,0,0,1
6,ASHX,1,1,0,0,0,0
7,ATMP,1,0,0,0,0,0
8,BAPR,1,0,0,0,0,0
9,BBUS,1,0,0,0,0,0
10,BCD,0,0,0,0,1,0
11,BFOR,1,0,0,0,0,0
12,BICK,1,1,0,0,0,1
13,BIV,0,0,1,1,0,1
14,BJAN,1,0,0,0,0,0
15,BJUL,1,0,0,0,0,0
16,BLCN,1,0,0,0,0,0
17,BLOK,1,0,0,0,0,0
18,BOCT,1,0,0,0,0,0
19,BOUT,1,0,0,0,0,0
20,BSBE,0,1,0,1,0,0
21,BSCE,0,1,0,1,0,0
22,BSDE,0,1,0,1,0,0
23,BSJP,0,0,0,1,0,0
24,CALF,1,0,0,0,0,0
25,CAPD,1,0,0,0,0,0
26,CBON,0,1,0,1,0,0
27,CCOR,1,0,0,0,0,0
28,CDC,1,0,0,0,0,0
29,CDL,1,0,0,0,0,0
30,CEFS,1,1,1,1,0,1
31,CEMB,0,1,0,1,0,0
32,CEW,0,1,0,0,1,1
33,CGW,1,1,0,0,0,0
34,CHIE,1,1,0,0,0,0
35,CHIK,1,1,0,0,0,0
36,CHIM,1,1,0,0,0,0
37,CHIQ,1,1,0,0,0,0
38,CHIS,1,1,0,0,0,0
39,CMBS,0,0,0,1,0,0
40,CNRG,1,0,0,0,0,0
41,CNXT,1,1,0,0,0,1
42,CNYA,1,1,0,0,0,0
43,COWZ,1,0,0,0,0,0
44,CSA,1,0,0,0,0,0
45,CSB,1,0,0,0,0,0
46,CSF,1,0,0,0,0,1
47,CSM,1,0,0,0,0,0
48,CWB,0,0,0,1,0,1
49,DALI,1,1,0,0,0,1
50,DBAW,1,1,0,0,0,0
51,DBC,0,0,0,0,1,0
52,DBEF,1,1,0,0,0,0
53,DBEM,1,1,0,0,0,0
54,DBEU,1,1,0,0,0,0
55,DBEZ,1,1,0,0,0,0
56,DBJP,1,1,0,0,0,0
57,DDLS,1,1,0,0,0,0
58,DDWM,1,1,0,0,0,0
59,DFE,1,1,0,0,0,0
